iter	Passed	Remaining
205	60505	233209
206	60814	232975
207	61115	232710
208	61421	232461
209	61720	232185
210	62018	231909
211	62331	231684
212	62643	231456
213	62960	231247
214	63250	230937
215	63551	230669
216	63824	230296
217	64107	229964
218	64454	229858
219	64745	229552
220	65033	229234
221	65314	228894
222	65593	228548
223	65882	228235
224	66176	227941
225	66495	227733
226	66772	227378
227	67057	227053
228	67362	226795
229	67644	226463
230	67924	226121
231	68229	225861
232	68541	225628
233	68862	225421
234	69146	225095
235	69422	224740
236	69695	224379
237	69965	224007
238	70230	223622
239	70505	223268
240	70781	222917
241	71058	222573
242	71351	222277
243	71642	221973
244	71948	221719
245	72258	221474
246	72535	221130
247	72826	220829
248	73110	220505
249	73419	220258
250	73696	219915
251	73970	219564
252	74266	219276
253	74594	219083
254	74908	218851
255	75188	218515
256	75461	218162
257	75729	217796
258	76003	217446
259	76278	217099
260	76559	216771
261	76840	216443
262	77103	216065
263	77376	215715
264	77657	215388
265	77967	215142
266	78268	214870
267	78557	214568
268	78855	214287
269	79178	214076
270	79489	213830
271	79759	213472
272	80027	213112
273	80329	212843
274	80625	212559
275	80935	212310
276	81214	211979
277	81498	211661
278	81766	211302
279	82032	210939
280	82310	210608
281	82580	210257
282	82856	209922
283	83134	209592
284	83428	209304
285	83708	208979
286	84042	208789
287	84322	208464
288	84603	208141
289	84952	207986
290	85254	207716
291	85576	207493
292	85860	207177
293	86266	207157
294	86656	207093
295	86990	206895
296	87373	206812
297	87678	206545
298	87975	206255
299	88257	205935
300	88561	205663
301	88854	205365
302	89161	205099
303	89451	204797
304	89753	204519
305	90047	204224
306	90355	203962
307	90636	203637
308	90929	203339
309	91221	203040
310	91538	202797
311	91848	202537
312	92152	202264
313	92454	201986
314	92746	201685
315	93061	201437
316	93399	201236
317	93702	200958
318	93978	200625
319	94247	200276
320	94527	199950
321	94812	199637
322	95095	199318
323	95386	199015
324	95684	198730
325	95983	198444
326	96280	198155
327	96561	197833
328	96828	197483
329	97124	197192
330	97418	196897
331	97725	196628
332	98032	196359
333	98340	196091
334	98663	195853
335	98995	195633
336	99302	195362
337	99681	195234
338	99982	194952
339	100270	194642
340	100565	194347
341	100843	194020
342	101125	193701
343	101395	193359
344	101687	193059
345	101984	192768
346	102262	192442
347	102541	192118
348	102832	191816
349	103151	191567
350	103475	191326
351	103773	191037
352	104082	190769
353	104366	190453
354	104643	190126
355	104952	189858
356	105273	189610
357	105616	189401
358	105923	189127
359	106193	188788
360	106474	188468
361	106755	188149
362	107023	187807
363	107298	187477
364	107652	187286
365	108005	187092
366	108342	186869
367	108667	186625
368	108990	186376
369	109295	186097
370	109620	185851
371	109926	185574
372	110216	185269
373	110517	184984
374	110833	184722
375	111163	184483
376	111474	184214
377	111829	184015
378	112145	183753
379	112454	183477
380	112756	183191
381	113044	182883
382	113367	182630
383	113726	182436
384	114042	182172
385	114319	181844
386	114606	181534
387	114885	181211
388	115174	180903
389	115509	180669
390	115792	180352
391	116061	180014
392	116349	179705
393	116645	179408
394	116938	179108
395	117275	178875
396	117588	178604
397	117936	178386
398	118203	178046
399	118484	177726
400	118770	177415
401	119119	177197
402	119432	176925
403	119721	176618
404	120011	176313
405	120296	176000
406	120568	175668
407	120838	175334
408	121143	175050
409	121443	174759
410	121731	174451
411	122001	174118
412	122277	173793
413	122547	173460
414	122813	173122
415	123111	172829
416	123413	172542
417	123710	172247
418	124018	171967
419	124293	171643
420	124580	171334
421	124870	171031
422	125160	170727
423	125453	170426
424	125749	170132
425	126012	169791
426	126290	169472
427	126565	169148
428	126834	168816
429	127131	168523
430	127423	168222
431	127704	167907
432	127985	167593
433	128270	167284
434	128558	166978
435	128856	166686
436	129144	166381
437	129466	166119
438	129762	165823
439	130040	165506
440	130313	165181
441	130579	164848
442	130861	164536
443	131173	164262
444	131511	164019
445	131821	163741
446	132089	163413
447	132382	163113
448	132677	162817
449	132994	162548
450	133281	162242
451	133575	161946
452	133863	161641
453	134158	161344
454	134435	161027
455	134717	160715
456	135016	160424
457	135312	160129
458	135600	159825
459	135884	159516
460	136157	159194
461	136434	158877
462	136696	158544
463	136969	158223
464	137255	157917
465	137559	157632
466	137835	157315
467	138098	156984
468	138360	156651
469	138631	156329
470	138904	156009
471	139192	155706
472	139494	155420
473	139781	155116
474	140051	154793
475	140317	154466
476	140598	154157
477	140876	153843
478	141165	153543
479	141456	153244
480	141749	152947
481	142057	152667
482	142340	152360
483	142603	152031
484	142866	151703
485	143157	151405
486	143425	151082
487	143704	150771
488	143990	150468
489	144259	150147
490	144527	149825
491	144804	149513
492	145085	149205
493	145367	148898
494	145643	148586
495	145900	148253
496	146175	147939
497	146441	147618
498	146717	147305
499	147024	147024
500	147315	146727
501	147603	146427
502	147875	146111
503	148145	145793
504	148414	145475
505	148682	145156
506	148954	144841
507	149245	144545
508	149527	144240
509	149808	143933
510	150077	143616
511	150353	143305
512	150612	142979
513	150904	142684
514	151195	142388
515	151462	142069
516	151735	141756
517	152007	141443
518	152271	141122
519	152563	140828
520	152846	140524
521	153149	140240
522	153459	139961
523	153762	139677
524	154036	139366
525	154303	139048
526	154569	138730
527	154830	138409
528	155116	138109
529	155440	137843
530	155731	137548
531	156009	137241
532	156271	136920
533	156541	136607
534	156836	136315
535	157116	136011
536	157406	135715
537	157671	135398
538	157929	135075
539	158205	134767
540	158494	134470
541	158822	134207
542	159153	133947
543	159482	133683
544	159772	133388
545	160038	133072
546	160311	132762
547	160573	132444
548	160840	132129
549	161126	131830
550	161424	131541
551	161723	131254
552	161984	130935
553	162261	130629
554	162552	130334
555	162828	130028
556	163105	129722
557	163382	129418
558	163650	129105
559	163921	128795
560	164189	128483
561	164487	128194
562	164784	127905
563	165085	127619
564	165380	127328
565	165655	127021
566	165950	126731
567	166224	126424
568	166478	126102
569	166759	125800
570	167029	125491
571	167318	125196
572	167599	124895
573	167866	124584
574	168141	124278
575	168432	123985
576	168733	123699
577	169045	123420
578	169345	123133
579	169608	122820
580	169891	122521
581	170165	122215
582	170457	121922
583	170746	121627
584	171041	121336
585	171347	121054
586	171652	120770
587	171956	120486
588	172247	120192
589	172529	119893
590	172820	119599
591	173144	119329
592	173490	119073
593	173802	118793
594	174074	118487
595	174361	118191
596	174639	117889
597	174946	117606
598	175226	117305
599	175495	116996
600	175757	116684
601	176030	116378
602	176312	116079
603	176603	115786
604	176903	115499
605	177189	115202
606	177495	114918
607	177790	114628
608	178053	114316
609	178328	114013
610	178624	113723
611	178903	113422
612	179194	113129
613	179502	112846
614	179780	112545
615	180056	112243
616	180337	111943
617	180609	111638
618	180897	111343
619	181184	111048
620	181466	110750
621	181752	110454
622	182024	110149
623	182307	109851
624	182617	109570
625	182907	109276
626	183205	108988
627	183505	108700
628	183808	108414
629	184083	108112
630	184352	107807
631	184634	107508
632	184920	107213
633	185212	106920
634	185495	106623
635	185791	106333
636	186068	106032
637	186350	105734
638	186643	105443
639	186932	105149
640	187224	104857
641	187500	104556
642	187768	104250
643	188060	103958
644	188351	103666
645	188657	103382
646	188944	103087
647	189248	102801
648	189526	102502
649	189809	102205
650	190093	101908
651	190362	101604
652	190668	101320
653	190943	101019
654	191221	100719
655	191517	100429
656	191809	100138
657	192092	99841
658	192400	99557
659	192699	99269
660	193012	98988
661	193307	98697
662	193602	98407
663	193906	98121
664	194188	97824
665	194489	97536
666	194771	97239
667	195057	96944
668	195373	96664
669	195644	96362
670	195906	96055
671	196198	95763
672	196482	95467
673	196753	95165
674	197023	94862
675	197309	94568
676	197613	94282
677	197879	93978
678	198153	93677
679	198446	93386
680	198731	93091
681	199013	92795
682	199315	92508
683	199596	92211
684	199874	91913
685	200165	91620
686	200451	91326
687	200752	91039
688	201046	90748
689	201319	90447
690	201581	90142
691	201842	89837
692	202108	89534
693	202372	89230
694	202636	88926
695	202908	88626
696	203188	88330
697	203490	88043
698	203784	87752
699	204055	87452
700	204360	87166
701	204654	86875
702	204932	86578
703	205209	86281
704	205483	85982
705	205776	85691
706	206074	85402
707	206362	85109
708	206654	84818
709	206938	84524
710	207224	84230
711	207513	83937
712	207771	83633
713	208047	83335
714	208314	83034
715	208579	82732
716	208867	82440
717	209154	82146
718	209439	81853
719	209723	81559
720	210004	81263
721	210294	80971
722	210618	80693
723	210887	80393
724	211153	80092
725	211436	79798
726	211757	79518
727	212028	79219
728	212326	78930
729	212617	78639
730	212893	78342
731	213156	78041
732	213421	77740
733	213690	77441
734	213988	77152
735	214255	76852
736	214531	76555
737	214819	76263
738	215106	75971
739	215399	75680
740	215682	75387
741	215965	75092
742	216257	74802
743	216543	74509
744	216817	74212
745	217092	73916
746	217365	73619
747	217660	73329
748	217950	73038
749	218242	72747
750	218535	72457
751	218830	72167
752	219107	71871
753	219374	71573
754	219671	71284
755	219960	70992
756	220248	70700
757	220547	70412
758	220846	70123
759	221125	69829
760	221431	69542
761	221693	69242
762	221981	68950
763	222270	68659
764	222554	68366
765	222825	68069
766	223107	67775
767	223397	67484
768	223720	67203
769	223999	66909
770	224286	66616
771	224583	66327
772	224858	66032
773	225147	65740
774	225410	65441
775	225682	65145
776	225943	64846
777	226254	64561
778	226532	64266
779	226826	63976
780	227109	63683
781	227396	63391
782	227672	63096
783	227956	62804
784	228236	62510
785	228525	62219
786	228799	61924
787	229086	61632
788	229390	61345
789	229685	61055
790	230003	60772
791	230279	60477
792	230563	60184
793	230876	59899
794	231130	59599
795	231402	59304
796	231673	59008
797	231946	58713
798	232211	58416
799	232543	58135
800	232864	57852
801	233185	57569
802	233491	57282
803	233781	56991
804	234095	56706
805	234403	56419
806	234720	56135
807	235012	55844
808	235309	55555
809	235604	55265
810	235882	54971
811	236183	54682
812	236470	54391
813	236774	54103
814	237065	53812
815	237339	53517
816	237620	53224
817	237887	52928
818	238166	52635
819	238461	52345
820	238767	52057
821	239081	51771
822	239408	51488
823	239690	51196
824	239989	50906
825	240290	50618
826	240585	50328
827	240855	50032
828	241146	49741
829	241431	49449
830	241701	49154
831	241971	48859
832	242257	48567
833	242557	48278
834	242824	47983
835	243092	47688
836	243370	47394
837	243637	47099
838	243901	46803
839	244184	46511
840	244452	46216
841	244750	45926
842	245040	45636
843	245329	45345
844	245606	45051
845	245897	44761
846	246204	44473
847	246488	44181
848	246771	43889
849	247053	43597
850	247338	43306
851	247604	43011
852	247895	42720
853	248176	42428
854	248467	42137
855	248729	41842
856	248980	41545
857	249246	41250
858	249513	40956
859	249783	40662
860	250051	40368
861	250316	40073
862	250594	39781
863	250880	39490
864	251183	39202
865	251459	38909
866	251733	38616
867	252013	38324
868	252313	38035
869	252588	37743
870	252878	37452
871	253153	37160
872	253433	36868
873	253730	36578
874	254037	36291
875	254337	36002
876	254616	35710
877	254884	35416
878	255152	35123
879	255425	34830
880	255693	34537
881	255974	34246
882	256253	33954
883	256558	33666
884	256836	33374
885	257151	33087
886	257439	32796
887	257733	32506
888	258036	32218
889	258333	31928
890	258637	31640
891	258930	31350
892	259220	31060
893	259506	30769
894	259807	30480
895	260119	30192
896	260390	29899
897	260683	29609
898	260961	29318
899	261257	29028
900	261537	28737
901	261806	28444
902	262075	28152
903	262349	27860
904	262636	27569
905	262937	27280
906	263215	26989
907	263507	26699
908	263803	26409
909	264102	26120
910	264396	25830
911	264706	25541
912	264981	25250
913	265253	24958
914	265539	24667
915	265817	24376
916	266115	24086
917	266390	23795
918	266648	23502
919	266915	23210
920	267187	22918
921	267448	22625
922	267710	22333
923	267980	22041
924	268255	21750
925	268535	21459
926	268821	21169
927	269115	20879
928	269391	20588
929	269672	20297
930	269975	20008
931	270264	19718
932	270553	19428
933	270820	19137
934	271088	18845
935	271373	18555
936	271643	18264
937	271925	17973
938	272194	17682
939	272453	17390
940	272721	17099
941	272987	16808
942	273250	16516
943	273518	16225
944	273784	15934
945	274043	15643
946	274342	15353
947	274633	15064
948	274906	14773
949	275169	14482
950	275447	14192
951	275729	13902
952	276026	13613
953	276319	13323
954	276599	13033
955	276868	12742
956	277171	12453
957	277471	12164
958	277736	11874
959	278003	11583
960	278271	11292
961	278546	11002
962	278818	10712
963	279076	10421
964	279344	10131
965	279616	9841
966	279885	9551
967	280170	9261
968	280466	8972
969	280762	8683
970	281052	8393
971	281368	8105
972	281678	7816
973	282019	7528
974	282310	7238
975	282580	6948
976	282864	6659
977	283162	6369
978	283477	6080
979	283769	5791
980	284053	5501
981	284317	5211
982	284590	4921
983	284856	4631
984	285133	4342
985	285430	4052
986	285719	3763
987	286036	3474
988	286317	3184
989	286592	2894
990	286873	2605
991	287156	2315
992	287476	2026
993	287781	1737
994	288112	1447
995	288408	1158
996	288703	868
997	289004	579
998	289301	289
999	289596	0
