iter	MultiClass
0	1.591435383
1	1.573984431
2	1.560494213
3	1.549081958
4	1.539532119
5	1.532659581
6	1.524429125
7	1.518670261
8	1.512516343
9	1.507258901
10	1.50160893
11	1.497191222
12	1.492895912
13	1.489634046
14	1.485785713
15	1.482556985
16	1.479106271
17	1.476098077
18	1.473183511
19	1.469715118
20	1.467727874
21	1.464908788
22	1.462219767
23	1.460469021
24	1.458390951
25	1.456057826
26	1.453647796
27	1.451189868
28	1.449202639
29	1.447427734
30	1.445613655
31	1.444252594
32	1.442745764
33	1.441365552
34	1.439311863
35	1.437897356
36	1.436016037
37	1.43496627
38	1.433431767
39	1.432436396
40	1.430884661
41	1.42907112
42	1.427818562
43	1.42665978
44	1.424964904
45	1.42356436
46	1.422204971
47	1.4213083
48	1.420024225
49	1.418949874
50	1.417797791
51	1.416358649
52	1.41519909
53	1.413971286
54	1.41294825
55	1.4120356
56	1.410994152
57	1.409899916
58	1.408607984
59	1.407658225
60	1.406229042
61	1.405169116
62	1.404062415
63	1.402939911
64	1.402000418
65	1.40126542
66	1.400163071
67	1.399040405
68	1.398135732
69	1.397425913
70	1.396591383
71	1.395796975
72	1.394922055
73	1.394163044
74	1.393394511
75	1.392744063
76	1.391673589
77	1.390998856
78	1.389955197
79	1.389310756
80	1.388311111
81	1.387387602
82	1.386651996
83	1.385814767
84	1.385137003
85	1.384150866
86	1.383335886
87	1.382785643
88	1.382004011
89	1.38118379
90	1.380572048
91	1.379760891
92	1.379091399
93	1.378354957
94	1.377425436
95	1.376681231
96	1.375950146
97	1.37514581
98	1.374474559
99	1.373527443
100	1.37313057
101	1.372229394
102	1.371420755
103	1.370751832
104	1.369979723
105	1.369270956
106	1.368460123
107	1.367848227
108	1.367055458
109	1.366358288
110	1.365732112
111	1.365026428
112	1.364460408
113	1.36360952
114	1.362999949
115	1.362275544
116	1.361399685
117	1.360596174
118	1.359918812
119	1.359136361
120	1.358359103
121	1.357719651
122	1.357046957
123	1.356090977
124	1.355350757
125	1.354718054
126	1.353967711
127	1.353316265
128	1.352655974
129	1.351784147
130	1.351088756
131	1.350387804
132	1.349617626
133	1.348889132
134	1.34812799
135	1.347205796
136	1.346522326
137	1.345624381
